has_doctype,has_xml_declaration,has_svg_tag,has_vcalendar,has_from_header,has_mime_boundary,html_tag_ratio,avg_line_length,special_char_ratio,first_line_pattern,fe_py_keywords,fe_jvm_keywords,fe_c_style,fe_web_syntax,fe_config_syntax,fe_sql_keywords,fe_rust_go,fe_doc_markup,fe_ts_types,fe_c_memory,fe_yaml_blocks,fe_md_fenced,label
0,0,0,0,0,0,0.02,33.28,0.04226762820512821,17,0.15333333333333332,0.013333333333333334,0.0,0.0,0.013333333333333334,0.0,0.0,0.10666666666666667,0.0,0.0,0.0,0,python
0,0,0,0,0,0,0.01098901098901099,24.725274725274726,0.03422222222222222,27,0.13186813186813187,0.0,0.0,0.0,0.0,0.02197802197802198,0.0,0.16483516483516483,0.01098901098901099,0.0,0.0,0,python
0,0,0,0,0,0,0.0,32.91304347826087,0.04095112285336856,27,0.17391304347826086,0.0,0.0,0.0,0.0,0.0,0.0,0.6956521739130435,0.0,0.0,0.0,0,python
0,0,0,0,0,0,0.25,45.583333333333336,0.08775137111517367,11,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,python
0,0,0,0,0,0,0.006666666666666667,37.45333333333333,0.026877892488430047,14,0.13333333333333333,0.0,0.0,0.0,0.02,0.0,0.0,0.13333333333333333,0.14,0.0,0.0,0,python
0,0,0,0,0,0,0.0,46.78378378378378,0.013287117273252455,23,0.10810810810810811,0.0,0.0,0.0,0.05405405405405406,0.0,0.0,0.08108108108108109,0.08108108108108109,0.02702702702702703,0.0,0,python
0,0,0,0,0,0,0.0,23.964285714285715,0.05216095380029806,23,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.10714285714285714,0.03571428571428571,0.0,0.0,0,python
0,0,0,0,0,0,0.0,47.63380281690141,0.04050857480780603,21,0.08450704225352113,0.0,0.0,0.028169014084507043,0.0,0.0,0.0,0.028169014084507043,0.22535211267605634,0.0,0.0,0,python
0,0,0,0,0,0,0.0,22.82608695652174,0.017142857142857144,22,0.13043478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0,python
0,0,0,0,0,0,0.0,30.677419354838708,0.04206098843322818,68,0.22580645161290322,0.0,0.0,0.0,0.0,0.0,0.0,0.12903225806451613,0.0,0.0,0.0,0,python
0,0,0,0,0,0,0.0,10.125,0.04938271604938271,19,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,python
0,0,0,0,0,0,0.006666666666666667,24.253333333333334,0.026388125343595383,21,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.006666666666666667,0.0,0.0,0,python
0,0,0,0,0,0,0.0,45.310810810810814,0.02445571130331047,14,0.10810810810810811,0.0,0.0,0.0,0.0,0.0,0.0,0.12162162162162163,0.033783783783783786,0.0,0.0,0,python
0,0,0,0,0,0,0.0,20.38888888888889,0.11716621253405994,22,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,python
0,0,0,0,0,0,0.0,40.56521739130435,0.05037513397642015,15,0.43478260869565216,0.0,0.0,0.0,0.32608695652173914,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0,python
0,0,0,0,0,0,0.006666666666666667,37.46,0.03399181348994483,16,0.18666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.08666666666666667,0.02666666666666667,0.0,0.0,0,python
0,0,0,0,0,0,0.0,17.666666666666668,0.1069182389937107,31,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0,python
0,0,0,0,0,0,0.0273972602739726,28.794520547945204,0.03377735490009515,1,0.136986301369863,0.0,0.0,0.0,0.0,0.0,0.0,0.0821917808219178,0.0273972602739726,0.0,0.0,0,python
0,0,0,0,0,0,0.0,31.010309278350515,0.046210106382978726,9,0.1958762886597938,0.0,0.0,0.0,0.0,0.0,0.0,0.08247422680412371,0.020618556701030927,0.0,0.0,0,python
0,0,0,0,0,0,0.0,32.142857142857146,0.025185185185185185,91,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.31746031746031744,0.0,0.0,0.0,0,python
0,0,0,0,0,0,0.0,48.23529411764706,0.025,14,0.22058823529411764,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.04411764705882353,0.0,0.0,0,python
0,0,0,0,0,0,0.0,25.058823529411764,0.04342723004694836,18,0.20588235294117646,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0,python
0,0,0,0,0,0,0.0,11.647058823529411,0.08080808080808081,21,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0,python
0,0,0,0,0,0,0.0,27.727272727272727,0.01639344262295082,63,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0,python
0,0,0,0,0,0,0.0,15.785714285714286,0.05429864253393665,18,0.35714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0,python
0,0,0,0,0,0,0.0,31.413333333333334,0.02037351443123939,3,0.05333333333333334,0.0,0.0,0.006666666666666667,0.0,0.0,0.0,0.2,0.006666666666666667,0.0,0.0,0,python
0,0,0,0,0,0,0.0,35.44,0.014860797592174567,22,0.16,0.0,0.006666666666666667,0.0,0.0,0.0,0.0,0.006666666666666667,0.0,0.0,0.0,0,python
0,0,0,0,0,0,0.006666666666666667,30.246666666666666,0.05333921093233414,21,0.18666666666666668,0.05333333333333334,0.0,0.0,0.0,0.0,0.0,0.21333333333333335,0.06,0.04666666666666667,0.0,0,python
0,0,0,0,0,0,0.0,56.88636363636363,0.018777467039552537,41,0.06818181818181818,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.4318181818181818,0.09090909090909091,0.022727272727272728,0.0,0,python
0,0,0,0,0,0,0.0,34.413333333333334,0.0131731886865556,14,0.24666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02666666666666667,0.0,0.0,0,python
0,0,0,0,0,0,0.0,39.59722222222222,0.03682918274289723,60,0.20833333333333334,0.0,0.0,0.0,0.013888888888888888,0.0,0.0,0.06944444444444445,0.041666666666666664,0.0,0.0,0,python
0,0,0,0,0,0,0.0,32.12,0.044416770444167704,21,0.1,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.37333333333333335,0.013333333333333334,0.0,0.0,0,python
0,0,0,0,0,0,0.0,35.57333333333333,0.05903298350824588,36,0.23333333333333334,0.0,0.0,0.0,0.0,0.0,0.02666666666666667,0.03333333333333333,0.0,0.0,0.0,0,python
0,0,0,0,0,0,0.0,34.48,0.01334106728538283,15,0.08,0.0,0.0,0.0,0.006666666666666667,0.0,0.0,0.006666666666666667,0.06,0.0,0.0,0,python
0,0,0,0,0,0,0.0,32.2,0.02525879917184265,63,0.12,0.006666666666666667,0.0,0.006666666666666667,0.02,0.0,0.0,0.08666666666666667,0.013333333333333334,0.0,0.0,0,python
0,0,0,0,0,0,0.013333333333333334,45.62,0.030688294607628234,3,0.18666666666666668,0.0,0.0,0.02,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0,python
0,0,0,0,0,0,0.0,38.04,0.015071854188573432,67,0.11333333333333333,0.0,0.006666666666666667,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0,python
0,0,0,0,0,0,0.006666666666666667,33.333333333333336,0.02,36,0.08666666666666667,0.07333333333333333,0.0,0.013333333333333334,0.006666666666666667,0.0,0.0,0.0,0.06,0.0,0.0,0,python
0,0,0,0,0,0,0.0,31.0,0.0,61,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,python
0,0,0,0,0,0,0.0,62.5,0.015344262295081967,34,0.03278688524590164,0.0,0.0,0.0,0.0,0.0,0.0,0.02459016393442623,0.0,0.0,0.0,0,python
0,0,0,0,0,0,0.0,32.0,0.046052631578947366,32,0.15789473684210525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0,python
0,0,0,0,0,0,0.0,49.026666666666664,0.07138971988033724,0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.013333333333333334,0.0,0.0,0,python
0,0,0,0,0,0,0.0,40.921052631578945,0.02990353697749196,70,0.17105263157894737,0.0,0.0,0.0,0.0,0.0,0.0,0.47368421052631576,0.0,0.0,0.0,0,python
0,0,0,0,0,0,0.0,36.94,0.014618299945858148,3,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.04666666666666667,0.013333333333333334,0.0,0.0,0,python
0,0,0,0,0,0,0.46153846153846156,54.794871794871796,0.09124941506785213,23,0.10256410256410256,0.5128205128205128,0.0,0.0,0.15384615384615385,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0,python
0,0,0,0,0,0,0.0,5185.88,0.00033166984195546367,19,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0,python
0,0,0,0,0,0,0.006666666666666667,38.63333333333333,0.034167385677308024,58,0.18666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.08666666666666667,0.013333333333333334,0.0,0.0,0,python
0,0,0,0,0,0,0.0,31.73076923076923,0.02666666666666667,45,0.46153846153846156,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0,python
0,0,0,0,0,0,0.0,37.98,0.022292434614709495,33,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.09333333333333334,0.02,0.0,0.0,0,python
0,0,0,0,0,0,0.0,36.78947368421053,0.02861230329041488,15,0.18421052631578946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,python
0,0,0,0,0,0,0.0,22.0,0.03110047846889952,48,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0,python
0,0,0,0,0,0,0.0,39.1,0.021483375959079284,1,0.18,0.0,0.013333333333333334,0.0,0.0,0.0,0.0,0.20666666666666667,0.04666666666666667,0.0,0.0,0,python
0,0,0,0,0,0,0.0,29.17808219178082,0.06431924882629109,137,0.2328767123287671,0.0,0.0,0.0,0.0136986301369863,0.0,0.0,0.0684931506849315,0.0,0.0,0.0,0,python
0,0,0,0,0,0,0.0,46.31578947368421,0.023863636363636365,78,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.868421052631579,0.0,0.0,0.0,0,python
0,0,0,0,0,0,0.0,28.321428571428573,0.03530895334174023,9,0.10714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,python
0,0,0,0,0,0,0.0,33.2,0.030873493975903613,36,0.125,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0,python
0,0,0,0,0,0,0.0,18.11111111111111,0.06134969325153374,11,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0,python
0,0,0,0,0,0,0.0,15.0,0.03333333333333333,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0,python
0,0,0,0,0,0,0.0,34.15,0.032210834553440704,34,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0,python
0,0,0,0,0,0,0.0,33.58,0.02541195155846734,31,0.19333333333333333,0.0,0.0,0.013333333333333334,0.0,0.0,0.0,0.03333333333333333,0.013333333333333334,0.0,0.0,0,python
0,0,0,0,0,0,0.02,29.773333333333333,0.05508284818629646,45,0.14666666666666667,0.0,0.0,0.013333333333333334,0.006666666666666667,0.0,0.0,0.16666666666666666,0.02666666666666667,0.0,0.0,0,python
0,0,0,0,0,0,0.0,42.39333333333333,0.02500393143576034,23,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.006666666666666667,0.0,0.0,0,python
0,0,0,0,0,0,0.0,34.05882352941177,0.031088082901554404,37,0.17647058823529413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,python
0,0,0,0,0,0,0.0,34.95384615384615,0.026848591549295774,79,0.1076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.24615384615384617,0.015384615384615385,0.0,0.0,0,python
0,0,0,0,0,0,0.0,38.78125,0.038678485092667206,87,0.296875,0.0,0.0,0.0,0.015625,0.0,0.0,0.0,0.03125,0.0,0.0,0,python
0,0,0,0,0,0,0.0,31.713333333333335,0.05970149253731343,18,0.14,0.05333333333333334,0.0,0.0,0.013333333333333334,0.0,0.0,0.20666666666666667,0.03333333333333333,0.0,0.0,0,python
0,0,0,0,0,0,0.0,22.5,0.03492063492063492,42,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,python
0,0,0,0,0,0,0.0,21.80666666666667,0.0064200550290431065,34,0.02666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,python
0,0,0,0,0,0,0.0,24.18,0.0413564929693962,20,0.18,0.0,0.0,0.0,0.0,0.0,0.013333333333333334,0.02666666666666667,0.006666666666666667,0.0,0.0,0,python
0,0,0,0,0,0,0.0,40.23728813559322,0.02274641954507161,47,0.11864406779661017,0.0,0.0,0.0,0.0,0.0,0.0,0.11864406779661017,0.03389830508474576,0.0,0.0,0,python
0,0,0,0,0,0,0.0,37.63333333333333,0.04393268379096545,15,0.28,0.0,0.0,0.0,0.02,0.0,0.0,0.02666666666666667,0.02666666666666667,0.0,0.0,0,python
0,0,0,0,0,0,0.0,25.688524590163933,0.04403318442884493,15,0.22950819672131148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,python
